ordinal,name,rva,kind,pdb_rva_candidates
4473,?OnFilePrintSetup@CWinApp@@IAEXXZ,0x000c4741,code,1
4481,?OnFinalRelease@CCmdTarget@@UAEXXZ,0x00090f30,code,1
4482,?OnFinalRelease@CDocument@@UAEXXZ,0x00093578,code,1
4486,?OnFinalRelease@CWnd@@UAEXXZ,0x00007868,code,1
4508,?OnGetCheckPosition@CCheckListBox@@UAE?AVCRect@@V2@0@Z,0x0009f88e,code,1
4564,?OnHScroll@CWnd@@IAEXIIPAVCScrollBar@@@Z,0x0008f1d1,code,2
4566,?OnIdle@CDocument@@UAEXXZ,0x000935b1,code,3
4568,?OnIdle@CWinApp@@UAEHJ@Z,0x0001741e,code,1
4580,?OnInitDialog@CDialog@@UAEHXZ,0x0000d759,code,1
4583,?OnInitDialog@CPropertySheet@@UAEHXZ,0x000a16ea,code,1
4591,?OnInitialUpdate@CView@@UAEXXZ,0x00010b54,code,1
4617,?OnKillActive@CPropertyPage@@UAEHXZ,0x000a0d33,code,1
4705,?OnNewDocument@CDocument@@UAEHXZ,0x0000d366,code,1
4720,?OnNotify@CPropertyPage@@MAEHIJPAJ@Z,0x000a0f8b,code,1
4722,?OnNotify@CWnd@@MAEHIJPAJ@Z,0x00016154,code,1
4735,?OnOK@CDialog@@MAEXXZ,0x000077ec,code,1
4736,?OnOK@CPropertyPage@@UAEXXZ,0x00038aba,code,3
4739,?OnOpenDocument@CDocument@@UAEHPBD@Z,0x00011517,code,1
4749,?OnPaint@CDialog@@IAEXXZ,0x0000d9d0,code,1
4777,?OnPrepareDC@CView@@UAEXPAVCDC@@PAUCPrintInfo@@@Z,0x00013c90,code,1
4781,?OnPreparePrinting@CView@@MAEHPAUCPrintInfo@@@Z,0x00093f9e,code,1
4790,?OnPrint@CView@@MAEXPAVCDC@@PAUCPrintInfo@@@Z,0x00093f6f,code,1
4797,?OnQueryCancel@CPropertyPage@@UAEHXZ,0x000a0d41,code,1
4844,?OnReset@CPropertyPage@@UAEXXZ,0x000a0d15,code,1
4852,?OnSaveDocument@CDocument@@UAEHPBD@Z,0x00093d2c,code,1
4861,?OnScroll@CView@@UAEHIIH@Z,0x00093f86,code,2
4864,?OnScrollBy@CView@@UAEHVCSize@@H@Z,0x00093f86,code,2
4867,?OnSetActive@CPropertyPage@@UAEHXZ,0x000a0d1d,code,1
4890,?OnSetFont@CDialog@@UAEXPAVCFont@@@Z,0x0000d6bd,code,6
4904,?OnSetPreviewMode@CFrameWnd@@UAEXHPAUCPrintPreviewState@@@Z,0x00019771,code,1
4927,?OnSize@CFrameWnd@@IAEXIHH@Z,0x00017769,code,1
4967,?OnToolHitTest@CWnd@@UBEHVCPoint@@PAUtagTOOLINFOA@@@Z,0x0008dfd7,code,1
4980,?OnUpdate@CView@@MAEXPAV1@JPAVCObject@@@Z,0x00010b44,code,1
4986,?OnUpdateCmdUI@CDialogBar@@UAEXPAVCFrameWnd@@H@Z,0x0001429b,code,2
5009,?OnUpdateFrameMenu@CFrameWnd@@UAEXPAUHMENU__@@@Z,0x0009d0e9,code,1
5012,?OnUpdateFrameTitle@CFrameWnd@@UAEXH@Z,0x00019591,code,1
5054,?OnVKeyToItem@CWnd@@IAEHIPAVCListBox@@I@Z,0x0008f27b,code,2
5070,?OnWizardBack@CPropertyPage@@UAEJXZ,0x000a400a,code,4
5071,?OnWizardFinish@CPropertyPage@@UAEHXZ,0x000a0d45,code,1
5072,?OnWizardNext@CPropertyPage@@UAEJXZ,0x000a400a,code,4
5073,?OnWndMsg@CWnd@@MAEHIIJPAJ@Z,0x0002dfdb,code,1
5102,?OpenDocumentFile@CWinApp@@UAEPAVCDocument@@PBD@Z,0x00011668,code,1
5119,?ParseCommandLine@CWinApp@@QAEXAAVCCommandLineInfo@@@Z,0x0000c1f2,code,1
5124,?ParseParam@CCommandLineInfo@@UAEXPBDHH@Z,0x0000f37b,code,1
5145,?PostNcDestroy@CControlBar@@UAEXXZ,0x0003667e,code,1
5148,?PostNcDestroy@CFrameWnd@@MAEXXZ,0x00035b65,code,1
5151,?PostNcDestroy@CView@@MAEXXZ,0x00036742,code,1
5152,?PostNcDestroy@CWnd@@MAEXXZ,0x00033b10,code,3
5156,?PreCloseFrame@CDocument@@UAEXPAVCFrameWnd@@@Z,0x00093f7e,code,3
5161,?PreCreateWindow@CControlBar@@UAEHAAUtagCREATESTRUCTA@@@Z,0x000122e1,code,1
5165,?PreCreateWindow@CFrameWnd@@MAEHAAUtagCREATESTRUCTA@@@Z,0x0000c01e,code,1
5174,?PreCreateWindow@CView@@MAEHAAUtagCREATESTRUCTA@@@Z,0x000123e0,code,1
5175,?PreCreateWindow@CWnd@@UAEHAAUtagCREATESTRUCTA@@@Z,0x00012156,code,1
5182,?PreInitDialog@CDialog@@MAEXXZ,0x00033b10,code,3
5200,?PreSubclassWindow@CWnd@@UAEXXZ,0x00033b10,code,3
5202,?PreTranslateMessage@CControlBar@@UAEHPAUtagMSG@@@Z,0x000189a5,code,1
5203,?PreTranslateMessage@CDialog@@UAEHPAUtagMSG@@@Z,0x00006d7c,code,1
5205,?PreTranslateMessage@CFrameWnd@@UAEHPAUtagMSG@@@Z,0x0002926d,code,1
5211,?PreTranslateMessage@CPropertyPage@@MAEHPAUtagMSG@@@Z,0x000a0d6f,code,1
5212,?PreTranslateMessage@CPropertySheet@@UAEHPAUtagMSG@@@Z,0x000a127b,code,1
5213,?PreTranslateMessage@CWinThread@@UAEHPAUtagMSG@@@Z,0x00029114,code,1
5214,?PreTranslateMessage@CWnd@@UAEHPAUtagMSG@@@Z,0x000291e8,code,1
5224,?ProcessMessageFilter@CWinThread@@UAEHHPAUtagMSG@@@Z,0x000323c3,code,1
5225,?ProcessShellCommand@CWinApp@@QAEHAAVCCommandLineInfo@@@Z,0x000109cc,code,1
5226,?ProcessWndProcException@CWinApp@@UAEJPAVCException@@PBUtagMSG@@@Z,0x000911da,code,1
5233,?put_accName@CWnd@@UAEJUtagVARIANT@@PA_W@Z,0x0008e34c,code,2
5235,?put_accValue@CWnd@@UAEJUtagVARIANT@@PA_W@Z,0x0008e34c,code,2
5320,?Read@CArchive@@QAEIPAXI@Z,0x0000df83,code,1
5355,?RecalcDelayShow@CControlBar@@UAEKPAUAFX_SIZEPARENTPARAMS@@@Z,0x000169c2,code,1
5356,?RecalcLayout@CFrameWnd@@UAEXH@Z,0x0001607f,code,1
5382,?Register@CWinApp@@UAEHXZ,0x000aeeb1,code,2
5403,?ReleaseBuffer@?$CSimpleStringT@D$00@ATL@@QAEXH@Z,0x0002a479,code,1
5412,?ReleaseFile@CDocument@@UAEXPAVCFile@@H@Z,0x000114f3,code,1
5420,?Remove@CFile@@SGXPBD@Z,0x0008c9b1,code,1
5484,?Rename@CFile@@SGXPBD0@Z,0x0008c98c,code,1
5491,?Replace@?$CStringT@DV?$StrTraitMFC_DLL@DV?$ChTraitsCRT@D@ATL@@@@@ATL@@QAEHPBD0@Z,0x00049dd6,code,1
5495,?ReportSaveLoadException@CDocument@@UAEXPBDPAVCException@@HI@Z,0x00093787,code,1
5497,?RepositionBars@CWnd@@QAEXIIIIPAUtagRECT@@PBU2@H@Z,0x00015f64,code,1
5566,?Run@CWinApp@@UAEHXZ,0x00010a52,code,1
5583,?SaveAllModified@CWinApp@@UAEHXZ,0x00004bdb,code,1
5584,?SaveBarState@CFrameWnd@@QBEXPBD@Z,0x00098f8a,code,1
5592,?SaveModified@CDocument@@UAEHXZ,0x00036500,code,1
5613,?ScreenToClient@CWnd@@QBEXPAUtagRECT@@@Z,0x000343ef,code,1
5622,?ScrollWindow@CWnd@@QAEXHHPBUtagRECT@@0@Z,0x00003fc9,code,1
5637,?SelectGdiObject@CDC@@KGPAVCGdiObject@@PAUHDC__@@PAX@Z,0x0000df4c,code,1
5640,?SelectObject@CDC@@QAEPAVCBrush@@PAV2@@Z,0x00018de8,code,3
5641,?SelectObject@CDC@@QAEPAVCPen@@PAV2@@Z,0x00018de8,code,3
5737,?SetButtonInfo@CToolBar@@QAEXHIIH@Z,0x0000ec5f,code,1
5744,?SetCheck@CCheckListBox@@QAEXHH@Z,0x000a04a8,code,1
