name,target_rva,target_size,source,notes
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003E8440Struct@@@Z,0x003E8440,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?updatePos@Pathfinder@@QAEXPAVObject@@PBUCoord3D@@@Z,0x003E9D80,1206,Code/GameEngine/Source/GameLogic/Object/Object.cpp,reloc-derived;call-sites=1;identity=real
?iterateCellsAlongLine@Pathfinder@@AAEXPBUICoord2D@@0W4PathfindLayerEnum@@PAUMADStruct@@@Z,0x003ED9F0,475,Code/GameEngine/Source/Common/Pathfinder_moveAlliesAwayFromDestination_Thunk.cpp,reloc-derived;call-sites=2;identity=real
?iterateCellsAlongLine@Pathfinder@@QAEHABUICoord2D@@0W4PathfindLayerEnum@@PAURva003F1CA0Struct@@@Z,0x003F1CA0,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=1;identity=generated
?iterateCellsAlongLine@Pathfinder@@IAEHABUICoord2D@@0W4PathfindLayerEnum@@PAX@Z,0x003F1F00,475,Code/GameEngine/Source/GameLogic/AI/pathfind_iterateCellsAlongLine_world.cpp,reloc-derived;call-sites=2;identity=real
?bfmeDoBRE@BfmeSubBRE@@QAEXPAX@Z,0x003F6B70,108,Code/GameEngine/Source/Common/BfmeConv519.cpp,reloc-derived;call-sites=1;identity=real
?_M_insert_overflow@?$vector@UGen_t_003f90f0_p8pod@@V?$allocator@UGen_t_003f90f0_p8pod@@@_STL@@@_STL@@IAEXPAUGen_t_003f90f0_p8pod@@ABU3@ABU__false_type@2@I_N@Z,0x003F8EF0,302,Code/gen_small/tgrid_134.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeNotifyPlain@BFMEPathfindLayerFields@@QAEXXZ,0x003FC380,430,Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp,reloc-derived;call-sites=1;identity=real
?_M_insert_overflow@?$vector@UGen_t_004019b0_m4pod@@V?$allocator@UGen_t_004019b0_m4pod@@@_STL@@@_STL@@IAEXPAUGen_t_004019b0_m4pod@@ABU3@ABU__false_type@2@I_N@Z,0x004014A0,282,Code/gen_small/fam_019.cpp,reloc-derived;call-sites=1;identity=generated
?flattenZones@@YAXPAG0H@Z,0x004027B0,171,Code/GameEngine/Source/GameLogic/AI/PathfindZoneFlatten.cpp,reloc-derived;call-sites=1;identity=real
??1Rva004029F0@@QAE@XZ,0x004029F0,89,Code/GameEngine/Source/GameLogic/AI/PathfindZoneManager_freeBlocks.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00409420@@UAE@XZ,0x00409250,60,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0040b080@@UAE@XZ,0x0040ADF0,70,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0040b0b0@@UAE@XZ,0x0040AEB0,121,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0040b0e0@@UAE@XZ,0x0040AFF0,104,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??0Rva006E1700Base@@QAE@XZ,0x0040B190,25,Code/GameEngine/Source/Common/Rva006E1700Ctor.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_0040b1d0@@UAE@XZ,0x0040B200,82,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_0040ba10@@UAE@XZ,0x0040BA40,137,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeDoBOE@BfmeSinkBOE@@QAEXPAX0@Z,0x0040C660,657,Code/GameEngine/Source/Common/BfmeConv503.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_0040fe10@@UAE@XZ,0x0040F6D0,134,Code/gen_small/dtors_005.cpp,reloc-derived;call-sites=1;identity=generated
?bfmeStop1019@BfmeA1019@@QAEXH@Z,0x0040FD20,79,Code/GameEngine/Source/Common/BfmeConv1019.cpp,reloc-derived;call-sites=1;identity=real
?unLink@DisplayStringManager@@IAEXPAVDisplayString@@@Z,0x00410370,140,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DDisplayStringManager.cpp,reloc-derived;call-sites=1;identity=real
?calcPhysicsXformHoverOrWings@Drawable@@IAEXPBVLocomotor@@AAUPhysicsXformInfo@1@@Z,0x00410E10,195,Code/GameEngine/Source/GameClient/Drawable.cpp,reloc-derived;call-sites=1;identity=real
?invoke@S4Sink004135C0@@QAEXABVAsciiString@@HHHH@Z,0x004135C0,81,Code/GameEngine/Source/Common/S4LuaStringCommands.cpp,reloc-derived;call-sites=4;identity=real
?calcPhysicsXformTreads@Drawable@@IAEXPBVLocomotor@@AAUPhysicsXformInfo@1@@Z,0x004143F0,1013,Code/GameEngine/Source/GameClient/Drawable.cpp,reloc-derived;call-sites=1;identity=real
?setEmoticon@Drawable@@QAEXABVAsciiString@@H@Z,0x004149E0,218,Code/GameEngine/Source/GameLogic/AI/AIGroup_groupSetEmoticon.cpp,reloc-derived;call-sites=1;identity=real
?bfmeOnceBXF@BfmeThingBXF@@QAEXXZ,0x00416550,123,Code/GameEngine/Source/Common/BfmeConv553.cpp,reloc-derived;call-sites=1;identity=real
?getPerUnitSound@ThingTemplate@@QBEPBVAudioEventRTS@@ABVAsciiString@@@Z,0x00416FE0,97,Code/GameEngine/Source/GameLogic/AI/TurretAIStartRotOrPitchSoundThunk.cpp,reloc-derived;call-sites=1;identity=real
?bfmeEmit@Gen_00417cb0@@AAEXPAX0@Z,0x00417710,681,Code/GameEngine/Source/Common/Bfme/Gen_00417cb0_tail.cpp,reloc-derived;call-sites=1;identity=generated
