name,export_rva,target_rva,target_size,source,status,notes
"?LoadPostProcess@DefaultDrawModuleInfo@FXParticleSystem@@UAEXXZ","0x0002EB90","0x005D4570","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@DefaultPhysicsModuleInfo@FXParticleSystem@@UAEXXZ","0x00048F27","0x005D4610","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@DefaultUpdateModuleInfo@FXParticleSystem@@UAEXXZ","0x00024E9C","0x005D4630","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?loadPostProcess@Drawable@@MAEXXZ","","0x004120A0","45","Code/GameEngine/Source/Common/RTS/DrawableLoadPostProcessThunk.cpp","matched","Open-BFME5 exact C++ raw Drawable post-load hook"
"?LoadPostProcess@EmissionVelocityInfo@FXParticleSystem@@UAEXXZ","0x0001EDC1","0x005BD7A0","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@EmissionVolumeInfo@FXParticleSystem@@UAEXXZ","0x0003AED1","0x005BD650","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@LifeEventModuleInfo@FXParticleSystem@@UAEXXZ","0x0001FBD6","0x005D4650","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@LightningDrawModuleInfo@FXParticleSystem@@UAEXXZ","0x0002997E","0x005D4730","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?loadPostProcess@ParticleSystem@@MAEXXZ","","0x000B9EA0","636","Code/GameEngine/Source/Common/ParticleSystem_loadPostProcessMethodThunk.cpp","matched","multi-xref Open-BFME4+Grok InitialDelay"
"?LoadPostProcess@ParticleSystemInfo@FXParticleSystem@@UAEXXZ","0x0001464B","0x0005C980","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
"?LoadPostProcess@QuadDrawModuleInfo@FXParticleSystem@@UAEXXZ","0x000205E5","0x005D46A0","1","Code/GameEngine/Source/GameClient/System/FXParticleSystem/fx_particle_system.cpp","matched","no-op"
