# Ghidra boundary artifacts among the <= 16 byte functions: RVAs whose
# retail bytes do not read as a complete function, so no source could ever
# reproduce them. tools/gen_small.py never claims one.
#
# Regenerate (deterministic, from the retail image): python3 tools/gen_small.py classify
# Format: 0x<rva> <reason>
0x0003D6E5 mid-instruction-target: jmp rel32 to 0x001D5FA0, which is inside a known function and is not one's start
0x0003DBBD mid-instruction-target: jmp rel32 to 0x00784B50, which is inside a known function and is not one's start
0x0003E1B7 mid-instruction-target: jmp rel32 to 0x00607E70, which is inside a known function and is not one's start
0x0003E572 mid-instruction-target: jmp rel32 to 0x003AC740, which is inside a known function and is not one's start
0x0003E92D mid-instruction-target: jmp rel32 to 0x0052CF00, which is inside a known function and is not one's start
0x0003EEF0 mid-instruction-target: jmp rel32 to 0x003B7330, which is inside a known function and is not one's start
0x0003EEF5 mid-instruction-target: jmp rel32 to 0x00360A50, which is inside a known function and is not one's start
0x0003F210 mid-instruction-target: jmp rel32 to 0x002606F0, which is inside a known function and is not one's start
0x0003F8DC mid-instruction-target: jmp rel32 to 0x005BFFB0, which is inside a known function and is not one's start
0x0003F931 mid-instruction-target: jmp rel32 to 0x005C0030, which is inside a known function and is not one's start
0x0003F9F9 mid-instruction-target: jmp rel32 to 0x0013D8F0, which is inside a known function and is not one's start
0x000406BA mid-instruction-target: jmp rel32 to 0x00748EF0, which is inside a known function and is not one's start
0x00040ACA mid-instruction-target: jmp rel32 to 0x00383D70, which is inside a known function and is not one's start
0x00040B56 mid-instruction-target: jmp rel32 to 0x00752130, which is inside a known function and is not one's start
0x00040E35 mid-instruction-target: jmp rel32 to 0x005C0BE0, which is inside a known function and is not one's start
0x00041010 mid-instruction-target: jmp rel32 to 0x0059A680, which is inside a known function and is not one's start
0x00041335 mid-instruction-target: jmp rel32 to 0x0037D2F0, which is inside a known function and is not one's start
0x000417B3 mid-instruction-target: jmp rel32 to 0x00094C90, which is inside a known function and is not one's start
0x000420F5 mid-instruction-target: jmp rel32 to 0x0060D9E0, which is inside a known function and is not one's start
0x00042C8A mid-instruction-target: jmp rel32 to 0x000E0C70, which is inside a known function and is not one's start
0x00042DF2 mid-instruction-target: jmp rel32 to 0x0039CFB0, which is inside a known function and is not one's start
0x00043EAF mid-instruction-target: jmp rel32 to 0x00337550, which is inside a known function and is not one's start
0x0004405D mid-instruction-target: jmp rel32 to 0x003A1310, which is inside a known function and is not one's start
0x00044B02 mid-instruction-target: jmp rel32 to 0x00696600, which is inside a known function and is not one's start
0x00044BED mid-instruction-target: jmp rel32 to 0x0013D0F0, which is inside a known function and is not one's start
0x000450DE mid-instruction-target: jmp rel32 to 0x00378C70, which is inside a known function and is not one's start
0x00045831 mid-instruction-target: jmp rel32 to 0x00717B00, which is inside a known function and is not one's start
0x00045872 mid-instruction-target: jmp rel32 to 0x000E69D0, which is inside a known function and is not one's start
0x00045A8E mid-instruction-target: jmp rel32 to 0x003CBE70, which is inside a known function and is not one's start
0x00045D77 mid-instruction-target: jmp rel32 to 0x0059A6B0, which is inside a known function and is not one's start
0x00045DE5 mid-instruction-target: jmp rel32 to 0x005D39D0, which is inside a known function and is not one's start
0x00045E3F mid-instruction-target: jmp rel32 to 0x003781F0, which is inside a known function and is not one's start
0x00046740 mid-instruction-target: jmp rel32 to 0x00422580, which is inside a known function and is not one's start
0x000467AE mid-instruction-target: jmp rel32 to 0x00293180, which is inside a known function and is not one's start
0x00046AE2 mid-instruction-target: jmp rel32 to 0x002DF850, which is inside a known function and is not one's start
