rva	size	similarity	margin	zh_symbol	zh_source
0x0026AAC0	195	0.94	0.94	?getPercentReady@SpecialPowerModule@@UBEMXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/SpecialPower/SpecialPowerModule.cpp
0x0026EED0	289	0.69	0.69	?calculateMaxBlockedSpeed@AIUpdateInterface@@IBEMPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp
0x00274B60	566	0.72	0.72	?computeQuickPath@AIUpdateInterface@@QAE_NPBUCoord3D@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp
0x00275F30	1929	0.84	0.52	?computeAttackPath@AIUpdateInterface@@AAE_NPAVPathfindServicesInterface@@PBVObject@@PBUCoord3D@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp
0x002774C0	537	0.71	0.46	?getLocomotorDistanceToGoal@AIUpdateInterface@@QAEMXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp
0x0027CF60	972	0.69	0.37	?processCollision@AIUpdateInterface@@UAE_NPAVPhysicsBehavior@@PAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp
0x0028CAD0	380	0.79	0.47	?update@DemoTrapUpdate@@UAE?AW4UpdateSleepTime@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DemoTrapUpdate.cpp
0x00295760	654	0.87	0.87	?update@HeightDieUpdate@@UAE?AW4UpdateSleepTime@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/HeightDieUpdate.cpp
0x002A4880	501	0.82	0.07	?doAttackLogic@SlavedUpdate@@QAEXPBVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A4B00	451	0.82	0.01	?doScoutLogic@SlavedUpdate@@QAEXPBUCoord3D@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A4F90	679	0.89	0.89	?setRepairState@SlavedUpdate@@QAEXW4RepairStates@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A5300	373	0.78	0.78	?doRepairLogic@SlavedUpdate@@QAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A5500	858	0.79	0.52	?update@SlavedUpdate@@UAE?AW4UpdateSleepTime@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SlavedUpdate.cpp
0x002A6260	150	1.00	0.49	?isPowerCurrentlyInUse@SpecialAbilityUpdate@@UBE_NPBVCommandButton@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SpecialAbilityUpdate.cpp
0x002A71E0	681	0.74	0.74	?continuePreparation@SpecialAbilityUpdate@@IAE_NXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SpecialAbilityUpdate.cpp
0x002AA4B0	734	0.71	0.71	?finishAbility@SpecialAbilityUpdate@@IAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/SpecialAbilityUpdate.cpp
0x002B0250	964	0.89	0.36	?update@StructureToppleUpdate@@UAE?AW4UpdateSleepTime@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StructureToppleUpdate.cpp
0x002B9B80	330	0.96	0.24	?aiDoCommand@DozerAIUpdate@@UAEXPBUAICommandParms@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/DozerAIUpdate.cpp
0x002BD310	525	0.75	0.13	?onEnter@AIGuardOuterState@@UAE?AW4StateReturnType@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp
0x002BD6F0	354	0.73	0.05	?onEnter@AITNGuardAttackAggressorState@@UAE?AW4StateReturnType@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AITNGuard.cpp
0x002C0FE0	290	0.66	0.31	?update@AIGuardIdleState@@UAE?AW4StateReturnType@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp
0x002C6DD0	470	0.79	0.79	?onEnter@RegroupingState@@UAE?AW4StateReturnType@@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/SupplyTruckAIUpdate.cpp
0x002C7330	177	0.92	0.00	?privateForceAttackObject@TransportAIUpdate@@MAEXPAVObject@@HW4CommandSourceType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/TransportAIUpdate.cpp
0x002C7410	177	0.92	0.00	?privateForceAttackObject@TransportAIUpdate@@MAEXPAVObject@@HW4CommandSourceType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate/TransportAIUpdate.cpp
0x002CEA90	446	0.86	0.86	?doPushOutDocking@RailedTransportDockUpdate@@IAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/RailedTransportDockUpdate.cpp
0x002D01E0	534	0.93	0.20	?exitObjectViaDoor@DefaultProductionExitUpdate@@UAEXPAVObject@@W4ExitDoorType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/DefaultProductionExitUpdate.cpp
0x002D2790	565	0.90	0.24	?exitObjectViaDoor@SupplyCenterProductionExitUpdate@@UAEXPAVObject@@W4ExitDoorType@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/SupplyCenterProductionExitUpdate.cpp
0x002FFB60	464	0.79	0.35	?doTeamPartialUseCommandButton@ScriptActions@@IAEXMABVAsciiString@@0@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp
0x003006B0	2445	0.65	0.38	?doCreateReinforcements@ScriptActions@@IAEXABVAsciiString@@0@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp
0x003014C0	979	0.66	0.66	?doLoadAllTransports@ScriptActions@@IAEXABVAsciiString@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp
0x003240F0	230	0.77	0.77	?evaluateSkirmishPlayerHasPrereqsToBuild@ScriptConditions@@IAE_NPAVParameter@@0@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptConditions.cpp
0x0032B730	211	0.97	0.97	?evaluateNamedSelected@ScriptConditions@@IAE_NPAVCondition@@PAVParameter@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptConditions.cpp
0x00362F30	229	0.90	0.04	??0MeshGeometryClass@@QAE@ABV0@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp
0x0038A9F0	737	0.73	0.73	?placeNetworkBuildingsForPlayer@@YAXHPBVGameSlot@@PAVPlayer@@PBVPlayerTemplate@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp
0x0038F4B0	608	0.69	0.69	?reset@GameLogic@@UAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp
0x00390A50	1071	0.62	0.62	?populateRandomSideAndColor@@YAXPAVGameInfo@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp
0x003A18D0	270	0.71	0.01	??0MeshClass@@QAE@ABV0@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp
0x003A39C0	160	0.69	0.05	?Generate_Culling_Tree@MeshGeometryClass@@IAEXXZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp
0x003C2FC0	394	0.66	0.06	??0DecalGeneratorClass@@IAE@KPAVDecalSystemClass@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/decalsys.cpp
0x003C97B0	366	0.65	0.03	??1SpecialPowerStore@@UAE@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/SpecialPower.cpp
0x003CA480	265	0.77	0.00	??1SpecialPowerStore@@UAE@XZ	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/SpecialPower.cpp
0x003CED50	290	0.67	0.02	??0LookupTableClass@@QAE@H@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WWMath/lookuptable.cpp
0x003D60E0	152	0.85	0.85	?computeNormalRadialOffset@@YAXABUCoord3D@@AAU1@0PAVObject@@M@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003D6210	181	0.74	0.74	?checkForPossible@Pathfinder@@IAE_N_NH0ABVLocomotorSet@@HHW4PathfindLayerEnum@@PAUCoord3D@@0@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003DCBA0	373	0.74	0.74	?circleClipsTallBuilding@Pathfinder@@IAE_NPBUCoord3D@@0MW4ObjectID@@PAU2@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003DD930	987	0.63	0.39	?prependCells@Pathfinder@@IAEXPAVPath@@PBUCoord3D@@PAVPathfindCell@@_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003E3D20	466	0.71	0.27	?removeGoal@Pathfinder@@QAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003E3F70	424	0.75	0.75	?removePos@Pathfinder@@QAEXPAVObject@@@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003E5E40	460	0.63	0.09	?checkDestination@Pathfinder@@IAE_NPBVObject@@HHW4PathfindLayerEnum@@H_N@Z	reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
