vtable_rva	label	slot	func_rva	func_name
0xD10F94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<0>'}	0	0x9741	getClass
0xD10F94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<0>'}	1	0x8350	thunk_FUN_009db010
0xD10F94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<0>'}	2	0x3A413	clone
0xD10F94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<0>'}	3	0x271F1	createModule
0xD10F94	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<0>'}	4	0x355D5	writeINI
0xD10F98	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x8350	thunk_FUN_009db010
0xD10F98	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3A413	clone
0xD10F98	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x271F1	createModule
0xD10F98	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x355D5	writeINI
0xD10FAC	`vftable'	1	0x48F27	LoadPostProcess
0xD10FAC	`vftable'	2	0x3BB1	GetSnapshotName
0xD10FAC	`vftable'	3	0xE53E	DoXfer
0xD10FC0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	0	0x3C2A4	getClass
0xD10FC0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	1	0x47D75	thunk_FUN_009db180
0xD10FC0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	2	0xE264	clone
0xD10FC0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	3	0x16734	createModule
0xD10FC0	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<3>'}	4	0x18372	writeINI
0xD10FC4	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x47D75	thunk_FUN_009db180
0xD10FC4	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0xE264	clone
0xD10FC4	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x16734	createModule
0xD10FC4	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x18372	writeINI
0xD10FD8	`vftable'	1	0x24E9C	LoadPostProcess
0xD10FD8	`vftable'	2	0xA894	GetSnapshotName
0xD10FD8	`vftable'	3	0x1F087	DoXfer
0xD10FEC	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	0	0x376EB	getClass
0xD10FEC	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	1	0x1634C	thunk_FUN_009db2d0
0xD10FEC	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	2	0xB7DF	clone
0xD10FEC	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	3	0x30E5E	createModule
0xD10FEC	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	4	0x1CE6D	writeINI
0xD10FF0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x1634C	thunk_FUN_009db2d0
0xD10FF0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0xB7DF	clone
0xD10FF0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x30E5E	createModule
