rva	size	similarity	margin	zh_symbol	zh_source
0x003F1690	337	0.70	0.06	?tightenPathCallback@Pathfinder@@KAHPAV1@PAVPathfindCell@@1HHPAX@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x003F2160	2045	0.69	0.42	?findGroundPath@Pathfinder@@QAEPAVPath@@PBUCoord3D@@0H_N@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPathfind.cpp
0x0040D540	455	0.82	0.82	?addText@CreditsManager@@QAEXVAsciiString@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Credits.cpp
0x00410F90	276	0.71	0.71	?drawUIText@Drawable@@QAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
0x0041A2E0	466	0.68	0.68	?flashAsSelected@Drawable@@QAEXPBURGBColor@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Drawable.cpp
0x00425720	204	0.62	0.03	?preloadAssets@ParticleSystemManager@@UAEXW4TimeOfDay@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/System/ParticleSys.cpp
0x0042F5A0	2666	0.84	0.61	?init@GameClient@@UAEXXZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GameClient.cpp
0x00432010	1361	0.70	0.44	?xfer@GameClient@@MAEXPAVXfer@@@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GameClient.cpp
0x00433340	612	0.76	0.36	??0GameClient@@QAE@XZ	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GameClient.cpp
0x00436992	537	0.71	0.13	?parseStringFile@GameTextManager@@IAE_NPBD@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GameText.cpp
0x00443720	296	0.98	0.98	?addWorldAnimation@InGameUI@@QAEXPAVAnim2DTemplate@@PBUCoord3D@@W4WorldAnimationOptions@@MM@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/InGameUI.cpp
0x00443F60	794	0.69	0.69	?similarUnitSelection@@YA_NPAVDrawable@@PAX@Z	inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/InGameUI.cpp
